,id,country
0,5uwns89zht,NDF
1,jtl0dijy2j,NDF
2,xx0ulgorjt,NDF
3,6c6puo6ix0,NDF
4,czqhjk3yfe,NDF
5,szx28ujmhf,US
6,guenkfjcbq,NDF
7,tkpq0mlugk,NDF
8,3xtgd5p9dn,NDF
9,md9aj22l5a,NDF
10,gg3eswjxdf,NDF
11,fyomoivygn,NDF
12,iq4kkd5oan,NDF
13,6k1xls6x5j,NDF
14,jodmb2ok1f,NDF
15,eq6fy0m4vc,US
16,yq4i7nfh6l,NDF
17,q5pibqdous,NDF
18,i0sc6d3j8s,NDF
19,br5mcrsqzn,NDF
20,rddbczuxx1,US
21,glck7hlmzz,NDF
22,sxpkaxep8n,NDF
23,sr4ntmalz2,NDF
24,f6wueq1ccn,NDF
25,ovc6nwn6mj,NDF
26,n10skstp90,US
27,5jrbdigmv4,NDF
28,d45nngmojp,NDF
29,y0frb6t1kq,NDF
30,qmu1dyhecs,US
31,zh9czv7f70,NDF
32,2016g8ddq0,NDF
33,e3slm56xll,NDF
34,88cbtox128,NDF
35,axonoz3dej,NDF
36,vhds8tixz6,NDF
37,xp1zfu6j6u,NDF
38,uuo66r9x53,NDF
39,kkwypqtlra,US
40,l2jsjvniuk,NDF
41,0cvk7jktso,US
42,c4q1tm2y1k,NDF
43,vuwfq20pw3,US
44,t8hk5t7mcf,NDF
45,p2l7d6qu1u,NDF
46,tvlh11azwo,NDF
47,gemyhv9gb9,NDF
48,hiv4ovzlub,NDF
49,ckmvpcz1s0,NDF
50,586v6ps2m8,NDF
51,l3pmdh5txj,NDF
52,6n6tybnvcx,US
53,yotwtxcm6v,NDF
54,ur4dlks25n,NDF
55,m6bodat9ft,NDF
56,mqinin79lg,US
57,uqnxmlkhnp,NDF
58,kzc1d9lye5,NDF
59,up8qrji6k7,NDF
60,qztknm6kb7,NDF
61,wk90gygtcj,NDF
62,kkbmwxa5ml,US
63,innr5prey9,NDF
64,snh2btoxnq,NDF
65,wkfv2nvsc2,US
66,ebts6m7xq4,NDF
67,mzf3jtgyaz,NDF
68,zefd7yyia9,NDF
69,u9bl58wtlg,NDF
70,3ai02kkqgq,US
71,mhalkc4w9a,NDF
72,cg09wn6ytu,US
73,u1kf2krxu7,NDF
74,h7m6kvw83d,US
75,v08shve4h2,US
76,x7v17g3tx5,NDF
77,suovt49r3u,NDF
78,smlddpc44k,NDF
79,ur7jeee2tc,NDF
80,lbttjerhrv,NDF
81,q2aien1lz2,NDF
82,vjuxvb32wi,NDF
83,99vpo9fj5d,NDF
84,54l7zri0bb,NDF
85,9f0h0ux8bm,NDF
86,fhslfnwi8k,NDF
87,84r9982fw1,NDF
