id,country
5uwns89zht,US
jtl0dijy2j,NDF
xx0ulgorjt,US
6c6puo6ix0,US
czqhjk3yfe,US
szx28ujmhf,US
guenkfjcbq,NDF
tkpq0mlugk,US
3xtgd5p9dn,US
md9aj22l5a,US
gg3eswjxdf,US
fyomoivygn,NDF
iq4kkd5oan,US
6k1xls6x5j,US
jodmb2ok1f,NDF
eq6fy0m4vc,US
yq4i7nfh6l,US
q5pibqdous,US
i0sc6d3j8s,US
br5mcrsqzn,US
rddbczuxx1,US
glck7hlmzz,US
sxpkaxep8n,US
sr4ntmalz2,US
f6wueq1ccn,US
ovc6nwn6mj,US
n10skstp90,US
5jrbdigmv4,NDF
d45nngmojp,US
y0frb6t1kq,US
qmu1dyhecs,NDF
zh9czv7f70,US
2016g8ddq0,US
e3slm56xll,US
88cbtox128,US
axonoz3dej,US
vhds8tixz6,US
xp1zfu6j6u,US
uuo66r9x53,other
kkwypqtlra,US
l2jsjvniuk,US
0cvk7jktso,US
c4q1tm2y1k,US
vuwfq20pw3,US
t8hk5t7mcf,US
p2l7d6qu1u,NDF
tvlh11azwo,US
gemyhv9gb9,US
hiv4ovzlub,NDF
ckmvpcz1s0,US
586v6ps2m8,US
l3pmdh5txj,US
6n6tybnvcx,US
yotwtxcm6v,US
ur4dlks25n,US
m6bodat9ft,US
mqinin79lg,US
uqnxmlkhnp,US
kzc1d9lye5,US
up8qrji6k7,NDF
qztknm6kb7,NDF
wk90gygtcj,US
kkbmwxa5ml,US
innr5prey9,US
snh2btoxnq,NDF
wkfv2nvsc2,US
ebts6m7xq4,NDF
mzf3jtgyaz,US
zefd7yyia9,US
u9bl58wtlg,US
3ai02kkqgq,US
mhalkc4w9a,US
cg09wn6ytu,US
u1kf2krxu7,US
h7m6kvw83d,US
v08shve4h2,US
x7v17g3tx5,US
suovt49r3u,NDF
smlddpc44k,NDF
ur7jeee2tc,US
lbttjerhrv,US
q2aien1lz2,US
vjuxvb32wi,US
99vpo9fj5d,US
54l7zri0bb,NDF
9f0h0ux8bm,US
fhslfnwi8k,NDF
84r9982fw1,NDF
t3mg621lt3,US
9psr4ramhc,US
wvkrmcxjna,US
bscxx3puli,US
ukubebj02j,US
th6y78zk4q,US
0hson9d0e0,US
t1penxipz9,US
qm8p85kg9a,US
v8ibtnvpr4,US
le73ew175t,US
h8csbbeo3y,US
cqikhghdm0,US
hz5mimz66g,US
73nkm3dfi2,US
7btp5wvu4v,NDF
76tedfnr8i,US
nxcfjtlvdk,US
orggm6wtov,US
scojulukfu,NDF
s5bipiwowr,US
kbtgm5pzco,US
bpqxef1vp5,US
kqma5e77n1,US
9gg3dxnohe,NDF
b0w40kjpkt,US
w1v435riqc,US
3uo4f5g99k,US
jcvpp2voxq,US
dn3lxsnkh9,NDF
qm7a2ypxk6,US
dg92uu1yci,US
wlmv17foov,NDF
3pq64r7ph6,NDF
95i97gcf4n,NDF
2seq9kopv3,US
low7m67hm4,US
ig5d8qosey,US
sg6tpb4g1f,US
2a18gv8mh0,US
tx6ub05drw,US
krras8ueqd,US
46vmfznjp6,NDF
hwczgyd6f3,US
o4ibwuiav6,US
8mekk69xmu,NDF
cx1vsjz7vn,US
2kip2hxh1a,US
zyql94l5bn,NDF
4y6wgw8jxy,NDF
e7cdcpss9w,US
yhthzkq8lw,US
6w5js8fj5a,US
gg50sg25wm,US
xd1ii36ns5,US
mxq55lwsvr,US
0s26z3sat5,NDF
fvngzuga8j,NDF
nomt5bak3i,US
a6z7dm6b43,US
ibyj32ijmm,US
qy2zpmgddc,NDF
s62adskt4b,US
g0gqi2vv1e,US
k2cqb4k5hb,NDF
s8i5mlcbso,NDF
mqysigtly4,US
iippbo0qyq,US
ttrquqdgxz,US
dvuz1onhmp,NDF
41gng57htb,NDF
53k5kd9ozc,US
t9yt9ld19z,US
kw5uoa4sgt,US
fnrzjlaiwd,NDF
lmpadt6m85,NDF
evv8vl3iix,NDF
j3supp5l5n,US
nkue5m2dvx,US
830xvv63jb,US
5rvwvv8h6x,NDF
f4lb6egqa8,US
8wuvktydfi,US
x7wrpolbow,US
lo4d1eglzk,NDF
8c0wwqjafj,US
zl0doxw137,US
6unvvxbio9,NDF
93y7lovz23,US
7bt6wau8ri,US
1nig9awllr,US
6pfqalb7ci,US
tg0skjpydn,US
rfqyed8noo,NDF
mgmuc5g093,US
n9swappq66,US
d4esdt2s0i,US
i7ak58tpo7,US
7gertd0qjm,NDF
is8ymm1a61,NDF
xuq8elj2gy,NDF
es77rb716p,US
knhtfdsls0,US
v6vmlybxky,NDF
mos18he3by,US
sp3tvgel9p,US
5pzly9piy7,US
946db5bqtl,NDF
cyp7k0r9n2,US
4mv9b3j7fx,US
bl8sz9d653,NDF
otgg3z7rdp,NDF
wqd6cvp4cu,US
auxb3o6v78,NDF
klpq9clj5g,NDF
zkloyn8lne,US
hiupbvp0ay,NDF
eg4405quxg,US
zpcqdhmmc4,US
6vi9wz0x86,US
5oct9nxvop,US
1ixpfl8f83,US
v4yxqouvlo,NDF
ybc8wnlfcx,US
1rkb7fgz4x,NDF
cnybo1tie4,US
d27h1bw3kx,NDF
fdkbge637i,US
gh6mac8ujz,US
h69u5wqzlh,NDF
72me74hq20,NDF
abbhgh7ghb,NDF
pqggxe4l5a,US
3zlnwg3pxr,NDF
3nw4ytjmi6,US
vzl4opbsr7,NDF
6ggo8gba5r,US
tuskgqcsh5,US
p00rzpgs6j,US
71sndzjzmd,NDF
iaipju0fgy,US
87v8p2ccn9,NDF
20tozj8ssr,US
evucqjckmu,US
0hdd8uudhx,US
ji1ltxpjdn,NDF
0ubtvn3nrq,US
s30o3t9htc,NDF
3xcp7f3m8o,US
xy4xv9uqmu,US
h7i6f2vywl,US
t0lj2k4mcy,NDF
9vtdcygpk6,NDF
xgncrwkh8e,US
r8zzrtvdaw,US
so8mep5e59,US
qut8s51p5k,NDF
5zzydvrt6x,US
bu5np8bxqx,NDF
mezvn9fr1g,NDF
tiyenwjmk4,US
glcz18tqs2,US
qncvchtom0,US
4j9qtd9lox,US
taxq84ok4o,NDF
lkzjn2epl8,NDF
w6qw82dcd4,US
up11emtafh,NDF
g9jh5xhzef,US
94r4tnuglp,US
xnj17ih33y,US
6vq4kx8ogj,US
9h1xr09c7f,US
8q3dvhoyju,US
ehroyvlmls,US
88rpufkth4,NDF
gxjl6zxwgh,NDF
um2hqlzeh8,US
0f9n7wbum8,NDF
bm9saf3lnj,US
uzpvzt0tvc,NDF
y9a9w1zdrl,US
hecqj5m4m5,NDF
t8ke6yshmt,NDF
fu4bkfziza,US
zpnebp9g7f,US
tx4y6yomm7,US
7rnn241z1d,NDF
i6e87aufkx,NDF
djrfbtw115,NDF
kkbvqv9s1s,US
mnmocw9lnj,US
yxcjru9dq3,NDF
pjhodz4zc7,US
2dkpmuht3m,US
r5hastizqz,US
ascj5x5d32,US
iljpfcy9va,US
kdgrq9e2n6,US
tlrdic9gp4,US
98mbv2q9aq,US
9v7e8kubgo,US
xrmdys5fgy,US
lx4az7t2r9,NDF
beme3doz4t,US
uploi1hj9s,US
5qcxy61zrr,US
cfn8nbgq31,NDF
wyzxz2tpsu,US
p125kmlrpx,US
xta2l7n56j,NDF
wvas51a9qm,US
zxnt35k6a2,US
e74odv61rx,US
x3ukc916ga,US
2li9wj6orw,US
1hsr4dp5w8,NDF
fo36dkl4kx,US
po02vs5hks,US
mq9nz750jz,NDF
kad9uyzqqx,US
msaru3a2me,US
5bb0klwahw,US
m566d0hi1x,US
zhg11r1vvq,US
2z5hptzt84,US
ebjjn7ymo2,NDF
y04u8muoq3,US
hupct170mc,NDF
dppz01r1z5,NDF
k450ie7kh5,US
w6iqlltpik,NDF
jkzzrx4es4,US
pzcev9s7wq,US
kxbwigmy1j,US
jxjk7q7z1m,US
tas0hrgqw6,US
umjjucd5dd,US
n13jlskf3m,US
g1pg3mql9b,US
d9ghmv67vi,NDF
9823gcnhj9,US
8vzol356g1,NDF
mxn8j55cz6,NDF
w3hna93wcx,US
r8l8r6u0zy,US
0xi4zk1oqr,US
0uaw9h9btm,US
9a7uivj1c6,US
tbnsmr9il1,US
koqjshyc48,NDF
o2ax5480vf,US
eowmy8ikaf,US
kr4l6891eg,US
arbadaw0mz,NDF
va3rxmbb27,US
ta015ccwxd,US
pgco5y1f7r,NDF
o2tp3qla9c,US
hwnvlouwqo,US
d8dm8o7vq1,US
8u335nkmcj,US
nvxmb4ttfq,US
h067ppdcqf,US
hztoxq15b3,US
62tsqfrwkj,NDF
u6sp4a08tn,US
hvwvtimk0t,NDF
cqbs2dwqvs,US
vzl7qea3u9,US
d2emyyli89,US
apxsui3c79,US
r5zsp818n5,US
gvht1p2tmg,NDF
0ysq5mcxwh,US
orsiqktei5,NDF
4qhenadg4m,NDF
33r2bh9u5n,US
so7szfnd9r,NDF
ahx3blbmh8,NDF
fc1eab8t0m,US
8e06d089dx,US
q79drx5n26,US
vxsflqupc3,US
vn071tqnvn,NDF
sh9sqpp60z,US
mpls2jkuf6,US
j1o1z5bhks,US
npqn4bwkh2,NDF
mv9l5f7ezq,US
72ikfl4kn8,US
hyua0b8no9,US
2xv2kfnnht,US
z68ej6ojoz,US
4zkm1amxio,US
ncojl8dsdj,NDF
tamxvqdhy7,US
ktowo98lej,NDF
j2vgql4rk9,US
79ah1hpgl5,US
qq3j6g1uno,US
6vvt94j8qk,US
tpuub8d2s3,NDF
aa3qmhicui,US
r7okf5hfx8,US
zr9hv9keu7,NDF
27b6p1id82,US
bz6wyxhcd7,US
e043smmez0,NDF
bbgkzz7400,US
jdlhs7cz4v,US
s3lefq33yb,US
79vwk4652q,US
1lyute4nlz,US
54fjdml43v,NDF
edlgxl27zy,US
2dbpt8xcro,US
at3gtxpnm2,US
skdxbo7t9u,NDF
6smfjp50y4,US
6k947ojqzd,US
boqde0l1jf,US
el4w5ze6zb,US
9w329adayv,NDF
hcsef6vvo7,US
ej61lfqdix,US
270ah6gm73,NDF
s1gez3uyc7,US
m8vtrbestb,US
e89t0g25iz,US
ooowpz79w5,US
ne5vygu4v3,US
mqrjwpnsrc,US
np81ub37ct,US
3tywpfx1c4,US
03dhyin1wr,US
dmsd0uxjha,US
sdoiaki5xo,US
ydb4tz5cen,US
jprsr28gul,NDF
cl55tkd2ea,NDF
7jwruo69rg,US
xs4hjs4snh,NDF
e04ctfjeyo,US
5m3hxy3jyt,US
4veczycuxf,US
8dclm10wvc,US
ew4ju0nfah,US
bm7qtpwpbb,US
doyzsrdton,US
ra7sqrec7l,US
sha80h5gi8,NDF
fb8g871vrs,US
xqo65f4qdy,US
vusaf7hi49,US
h13wkp9dhu,US
qys3vvcpxa,US
bfswmrchea,NDF
epintqn6h9,US
3b55h5ujlq,US
q7j8hhqlfm,US
ipe0vhxndv,US
cazqrass38,NDF
oqbkl6ql2u,US
nmwjh0f051,US
raqc5246lj,NDF
s3zlddsw6d,US
e22y5xtzrn,NDF
m17jzpa82n,NDF
0pj95wepy9,US
tn4x7g9cay,US
89zwpthdq4,US
41yhlvwjxm,US
wwiqv3w8xk,NDF
96iwc0vwzg,NDF
lf0m3q7p2v,US
dganr1dnkm,US
wwp98pmbrs,US
69bfvjpvry,US
s7muk8j36w,US
84nom9czwp,US
ek6o166rox,NDF
f5qs8kofox,US
yx1q94k3hg,US
fjghlltz4t,NDF
iv65cf3hu4,US
k9emoz3js1,US
gsg5z8z6m8,NDF
ofqmu7culq,US
cdu5wnaqjf,US
tbaxeshhly,NDF
w2237vcnm7,US
it6j7nd54o,US
wsnfcehv1z,US
l1uns654pn,NDF
siraqvr6ga,US
qq204n0gaz,US
fqwd8lv1ri,US
tejlnm6f83,US
tturhok68n,US
1vg7nifi1s,US
q2hl300xbn,NDF
gpcdxqu579,NDF
3lcuk14hue,US
lcoehb46wn,US
tgtvyez838,US
f9vu7zbntk,US
uk65radk84,NDF
xqq2ejt8x3,US
45ecu5bz78,US
d89d4m0pdj,NDF
vc0pe9mblz,NDF
8sdj75xggv,US
1egrqet1kr,US
o4zz3umfgo,US
54hx16km26,US
gmo85evpy8,NDF
hg4lfuxyu0,US
nftlgdomus,US
1ygqivjbns,US
dnxb3cx52k,NDF
h0oarp2fo6,NDF
oou6lasb8f,US
6cnejeveal,NDF
9o9z3wg806,US
12ckid3eb0,US
nop2k371ic,US
f7ylz6ls1n,NDF
4rufc7454l,NDF
4imj27p6fs,US
k9qeru0qm2,US
4cs3r7ddjk,US
baoquxoi1m,NDF
w9reqqtm52,US
oxza626gt8,US
1u9rvgdoil,US
pnsxg1dvwc,US
urfadk1m6w,US
e263vmujh1,US
bg0923hjks,US
y4q5x38o8u,US
9ggz13b8t6,US
4abitg6r3f,US
cm7svip2m7,US
6se2v5qy6s,US
s781ycpax3,US
jl44r564wq,US
n6ol4as9g0,NDF
8sgw9du22v,US
xx8qi3uk6j,NDF
qio5hymru4,US
o0e86z6ufg,US
