id,country
5uwns89zht,PT
jtl0dijy2j,PT
xx0ulgorjt,PT
6c6puo6ix0,PT
czqhjk3yfe,PT
szx28ujmhf,PT
guenkfjcbq,PT
tkpq0mlugk,PT
3xtgd5p9dn,PT
md9aj22l5a,PT
gg3eswjxdf,PT
fyomoivygn,PT
iq4kkd5oan,PT
6k1xls6x5j,PT
jodmb2ok1f,PT
eq6fy0m4vc,PT
yq4i7nfh6l,PT
q5pibqdous,PT
i0sc6d3j8s,NL
br5mcrsqzn,PT
rddbczuxx1,PT
glck7hlmzz,PT
sxpkaxep8n,PT
sr4ntmalz2,PT
f6wueq1ccn,PT
ovc6nwn6mj,PT
n10skstp90,PT
5jrbdigmv4,PT
d45nngmojp,PT
y0frb6t1kq,PT
qmu1dyhecs,PT
zh9czv7f70,PT
2016g8ddq0,PT
e3slm56xll,PT
88cbtox128,PT
axonoz3dej,AU
vhds8tixz6,PT
xp1zfu6j6u,NL
uuo66r9x53,PT
kkwypqtlra,PT
l2jsjvniuk,PT
0cvk7jktso,PT
c4q1tm2y1k,PT
vuwfq20pw3,NL
t8hk5t7mcf,PT
p2l7d6qu1u,DE
tvlh11azwo,PT
gemyhv9gb9,PT
hiv4ovzlub,PT
ckmvpcz1s0,PT
586v6ps2m8,PT
l3pmdh5txj,PT
6n6tybnvcx,PT
yotwtxcm6v,PT
ur4dlks25n,PT
m6bodat9ft,GB
mqinin79lg,PT
uqnxmlkhnp,PT
kzc1d9lye5,PT
up8qrji6k7,PT
qztknm6kb7,PT
wk90gygtcj,PT
kkbmwxa5ml,PT
innr5prey9,PT
snh2btoxnq,NL
wkfv2nvsc2,PT
ebts6m7xq4,NL
mzf3jtgyaz,PT
zefd7yyia9,PT
u9bl58wtlg,NL
3ai02kkqgq,PT
mhalkc4w9a,PT
cg09wn6ytu,PT
u1kf2krxu7,PT
h7m6kvw83d,PT
v08shve4h2,PT
x7v17g3tx5,PT
suovt49r3u,PT
smlddpc44k,DE
ur7jeee2tc,PT
lbttjerhrv,PT
q2aien1lz2,PT
vjuxvb32wi,PT
99vpo9fj5d,PT
54l7zri0bb,NL
9f0h0ux8bm,PT
fhslfnwi8k,PT
84r9982fw1,PT
t3mg621lt3,PT
9psr4ramhc,PT
wvkrmcxjna,PT
bscxx3puli,PT
ukubebj02j,PT
th6y78zk4q,PT
0hson9d0e0,PT
t1penxipz9,PT
qm8p85kg9a,PT
v8ibtnvpr4,PT
le73ew175t,PT
h8csbbeo3y,AU
cqikhghdm0,AU
hz5mimz66g,PT
73nkm3dfi2,PT
7btp5wvu4v,NL
76tedfnr8i,PT
nxcfjtlvdk,PT
orggm6wtov,PT
scojulukfu,PT
s5bipiwowr,PT
kbtgm5pzco,PT
bpqxef1vp5,PT
kqma5e77n1,PT
9gg3dxnohe,PT
b0w40kjpkt,CA
w1v435riqc,PT
3uo4f5g99k,PT
jcvpp2voxq,PT
dn3lxsnkh9,NL
qm7a2ypxk6,PT
dg92uu1yci,PT
wlmv17foov,AU
3pq64r7ph6,PT
95i97gcf4n,PT
2seq9kopv3,PT
low7m67hm4,PT
ig5d8qosey,PT
sg6tpb4g1f,PT
2a18gv8mh0,PT
tx6ub05drw,PT
krras8ueqd,PT
46vmfznjp6,DE
hwczgyd6f3,AU
o4ibwuiav6,PT
8mekk69xmu,PT
cx1vsjz7vn,PT
2kip2hxh1a,PT
zyql94l5bn,PT
4y6wgw8jxy,PT
e7cdcpss9w,NL
yhthzkq8lw,PT
6w5js8fj5a,PT
gg50sg25wm,PT
xd1ii36ns5,AU
mxq55lwsvr,PT
0s26z3sat5,PT
fvngzuga8j,PT
nomt5bak3i,PT
a6z7dm6b43,PT
ibyj32ijmm,PT
qy2zpmgddc,PT
s62adskt4b,PT
g0gqi2vv1e,PT
k2cqb4k5hb,PT
s8i5mlcbso,NL
mqysigtly4,PT
iippbo0qyq,PT
ttrquqdgxz,PT
dvuz1onhmp,NL
41gng57htb,PT
53k5kd9ozc,PT
t9yt9ld19z,PT
kw5uoa4sgt,PT
fnrzjlaiwd,PT
lmpadt6m85,PT
evv8vl3iix,PT
j3supp5l5n,PT
nkue5m2dvx,PT
830xvv63jb,PT
5rvwvv8h6x,NL
f4lb6egqa8,PT
8wuvktydfi,PT
x7wrpolbow,PT
lo4d1eglzk,PT
8c0wwqjafj,PT
zl0doxw137,AU
6unvvxbio9,NL
93y7lovz23,PT
7bt6wau8ri,PT
1nig9awllr,PT
6pfqalb7ci,PT
tg0skjpydn,NL
rfqyed8noo,PT
mgmuc5g093,PT
n9swappq66,PT
d4esdt2s0i,PT
i7ak58tpo7,NL
7gertd0qjm,PT
is8ymm1a61,NL
xuq8elj2gy,NL
es77rb716p,PT
knhtfdsls0,PT
v6vmlybxky,PT
mos18he3by,PT
sp3tvgel9p,PT
5pzly9piy7,PT
946db5bqtl,NL
cyp7k0r9n2,PT
4mv9b3j7fx,AU
bl8sz9d653,PT
otgg3z7rdp,PT
wqd6cvp4cu,PT
auxb3o6v78,PT
klpq9clj5g,NL
